"","f1","f2","f3","f4","f5","f6","f7","Course","Intervention","Gender_group","Raceethnicity_group","Education_group"
"577",0.0714285714285714,-0.333333333333333,0,0,0.1,0.333333333333333,0.666666666666667,"PHY105N","Control","Woman","SD","Not1stGen"
"578",0.285714285714286,0.2,0.5,0.25,0.2,-0.333333333333333,0.5,"PHY105N","Control","Man","Mixed","Not1stGen"
"579",0,0.2,0.5,-0.25,-0.1,0.166666666666667,0.166666666666667,"PHY105N","Control","Man","SD","Not1stGen"
"580",0.142857142857143,-0.733333333333333,-0.5,-0.25,0.3,0,0.333333333333333,"PHY105N","Control","Woman","Mixed","Not1stGen"
"581",0.214285714285714,-0.333333333333333,-0.25,0.166666666666667,0.6,0,0.166666666666667,"PHY105N","Control","Man","SD","Not1stGen"
"582",0.214285714285714,0.2,0,-0.0833333333333333,0.2,0.333333333333333,0,"PHY105N","Control","Woman","SND","1stGen"
"583",0.142857142857143,0.6,-0.75,0,0.8,0.333333333333333,0.833333333333333,"PHY105N","Control","Woman","SND","1stGen"
"584",-0.142857142857143,-0.0666666666666667,0.75,0.0833333333333333,0.3,0,-0.333333333333333,"PHY105N","Control","Woman","SND","Not1stGen"
"585",0.428571428571429,0.2,-0.75,0.166666666666667,0.9,0.666666666666667,1,"PHY105M","Collaborative Comparison","Man","Mixed","Not1stGen"
"586",0,0.2,0,0,0,0,0,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"587",0.142857142857143,-0.333333333333333,-0.75,0.0833333333333333,0.5,0.333333333333333,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"588",0.428571428571429,-0.6,-0.75,0,0,0,0,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"589",0.142857142857143,-0.2,-1,0,0.9,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"590",0.142857142857143,-0.333333333333333,-0.25,0.0833333333333333,0.2,0.166666666666667,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"591",0.357142857142857,-0.2,0,0.0833333333333333,0.4,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"592",0.428571428571429,-0.333333333333333,-1,0,0.4,0.5,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"593",0.357142857142857,-0.333333333333333,0.25,0.0833333333333333,0.5,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"594",0.0714285714285714,0.0666666666666667,0,0.0833333333333333,0.1,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Man","SD","1stGen"
"595",-0.0714285714285714,-0.333333333333333,-0.25,-0.0833333333333333,0.4,0.333333333333333,0.5,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"596",0.214285714285714,0.0666666666666667,0.25,0,0.2,0.333333333333333,0,"PHY105M","Collaborative Comparison","Woman","Mixed","Not1stGen"
"597",0.285714285714286,-0.333333333333333,-0.75,0.25,0.8,0,0.5,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"598",0.214285714285714,-0.2,-0.25,0.0833333333333333,0.3,0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"599",0.142857142857143,0.0666666666666667,-1,0.166666666666667,0.3,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"600",0.428571428571429,-0.333333333333333,-0.5,0,0.7,0.333333333333333,0.666666666666667,"PHY105M","Partner Agreements","Man","SND","Not1stGen"
